Code,OI/LO/KUSP,,,
OI.2.GQ.6.LO.6.U.1.K.3,Adding or subtracting the same algebraic or constant term on both sides of an equation results in an equivalent equation.,,,
OI.2.GQ.6.LO.6.U.1.K.4,"A solution is a value that, when substituted into the equation, satisfies the equation.",,,
OI.2.GQ.6.LO.6.U.1.SP.1,"Simplify algebraic expressions on one or both sides of an equation, using algebraic properties, including the distributive property.",,,
OI.2.GQ.6.LO.6.U.1.SP.2,Solve linear equations with algebraic terms on both sides of the equation.,,,
OI.2.GQ.6.LO.6.U.1.SP.3,Verify the solution to a linear equation by substituting the solution into any equivalent equation.,,,
OI.2.GQ.6.LO.6.U.1.SP.4,"Solve problems involving real-world situations, using linear equations.",,,
OI.3,Geometry: The properties of geometric objects are explained through justification and proof.,,,
OI.3.GQ.7,In what ways can geometric objects be interpreted?,,,
OI.3.GQ.7.LO.7,Students analyze the structure and relationships of geometric objects.,,,
OI.3.GQ.7.LO.7.U.1,Symbols and symbolic notation can be used to represent relationships between geometric objects.,,,
OI.3.GQ.7.LO.7.U.1.K.1,"Geometric objects are abstract mathematical concepts and include
- straight lines
- rays
- line segments
- angles
- polygons",,,
OI.3.GQ.7.LO.7.U.1.K.2,A straight line can be interpreted as a series of adjacent points that extends infinitely in two opposite directions.,,,
OI.3.GQ.7.LO.7.U.1.K.3,A ray is the portion of a straight line that extends infinitely in one direction from a given point on the line.,,,
OI.3.GQ.7.LO.7.U.1.K.4,A line segment is the portion of a straight line between two given points.,,,
OI.3.GQ.7.LO.7.U.1.K.5,"An angle is formed by two straight lines, line segments, or rays that share a vertex.",,,
OI.3.GQ.7.LO.7.U.1.K.6,A polygon is a closed figure made of three or more line segments that only intersect at the vertices.,,,
OI.3.GQ.7.LO.7.U.1.K.7,"Symbolic notation can be used to communicate geometric objects, including
- straight lines, e.g., C↔D or a single lower case letter
- rays, e.g., A→C
- line segments, e.g., A‾B or AB
- angles, e.g., ∠CAB or ∠A
- triangles, e.g., △ABC",,,
