Code,OI/LO/KUSP
OI.4.GQ.9,In what ways can a 3-D shape be modelled to support its measurement?
OI.4.GQ.9.LO.9,"Students analyze the surface area of right 3-D shapes, using 2-D models."
OI.4.GQ.9.LO.9.U.1,Representing 3-D shapes with 2-D models can facilitate calculation of surface area.
OI.4.GQ.9.LO.9.U.1.K.1,"Polyhedrons, including prisms and pyramids, are 3-D shapes with polygonal faces."
OI.4.GQ.9.LO.9.U.1.K.2,"Certain 3-D shapes are not polyhedrons, such as cylinders and spheres."
OI.4.GQ.9.LO.9.U.1.K.3,A pyramid is a polyhedron with triangular lateral faces and one polygonal base opposite a vertex called the apex.
OI.4.GQ.9.LO.9.U.1.K.4,The surface of a 3-D shape is a composition of faces and curved surfaces that are various 2-D shapes.
OI.4.GQ.9.LO.9.U.1.K.5,"Each 2-D shape that composes the surface of a 3-D shape has dimensions that are necessary for calculating its area, including
- base
- height
- radius"
OI.4.GQ.9.LO.9.U.1.K.6,Surface area of a 3-D shape is the sum of the areas of its surface.
OI.4.GQ.9.LO.9.U.1.K.7,"The curved lateral surface of a cylinder is a rectangle, where the length is equal to the circumference of the circular base."
OI.4.GQ.9.LO.9.U.1.K.8,A 2-D model may not represent all of the faces and curved surfaces of a 3-D shape.
OI.4.GQ.9.LO.9.U.1.K.9,"2-D models of 3-D shapes include
- nets
- orthographic drawings
- isometric drawings"
OI.4.GQ.9.LO.9.U.1.K.10,A net is a 2-D model of the surface of a 3-D shape that can be folded into a 3-D model.
OI.4.GQ.9.LO.9.U.1.K.11,A 3-D shape can have different nets.
OI.4.GQ.9.LO.9.U.1.K.12,"An orthographic drawing shows the front, top, and right-side views of a 3-D shape separately."
OI.4.GQ.9.LO.9.U.1.K.13,"An isometric drawing shows a 3-D shape rotated to show the front, top, and right-side views."
OI.4.GQ.9.LO.9.U.1.SP.1,Identify if a 3-D shape is a polyhedron.
OI.4.GQ.9.LO.9.U.1.SP.2,"Calculate the surface area of various polyhedrons and cylinders, using a 2-D model."
OI.4.GQ.9.LO.9.U.1.SP.3,Solve problems involving surface area of polyhedrons and cylinders.
OI.4.GQ.9.LO.9.U.1.SP.4,Predict the 3-D shape modelled by a net.
OI.4.GQ.9.LO.9.U.1.SP.5,Relate each shape on a net to the corresponding face of a 3-D shape.
OI.4.GQ.9.LO.9.U.1.SP.6,Differentiate between examples and non-examples of nets for a cube.
OI.4.GQ.9.LO.9.U.1.SP.7,"Justify the choice of net, orthographic drawing, or isometric drawing to represent a 3-D shape."
OI.4.GQ.9.LO.9.U.1.SP.8,"Recognize the orthographic drawing and isometric drawing related to a given 3-D shape, and vice versa."
OI.4.GQ.9.LO.9.U.1.SP.9,"Create orthographic drawings for 3-D shapes, with or without a digital geometry environment."
OI.4.GQ.9.LO.9.U.1.SP.10,Model 3-D shapes related to given orthographic drawings and isometric drawings.
OI.5,Functions: Functions model relationships between changing quantities in real-world situations.
OI.5.GQ.10,How can functions contextualize change?
OI.5.GQ.10.LO.10,Students relate linear functions to equations and graphs.
OI.5.GQ.10.LO.10.U.1,Attributes of linear functions support connections between graphs and equations.
OI.5.GQ.10.LO.10.U.1.K.1,Slope is the steepness of a line and has both magnitude and direction.
OI.5.GQ.10.LO.10.U.1.K.2,"The steeper the slope of a line, the greater its magnitude."
OI.5.GQ.10.LO.10.U.1.K.3,A horizontal line has a slope of zero.
OI.5.GQ.10.LO.10.U.1.K.4,A vertical line has an undefined slope.
OI.5.GQ.10.LO.10.U.1.K.5,A line that slants in an upward direction from left to right indicates a positive slope.
OI.5.GQ.10.LO.10.U.1.K.6,A line that slants in a downward direction from left to right indicates a negative slope.
OI.5.GQ.10.LO.10.U.1.K.7,"Slope, m, of a line can be described by the ratio of the rise (vertical displacement) to the run (horizontal displacement) between two points on the line, e.g., between points 𝑃(𝑥1,𝑦1) and 𝑄(𝑥2,𝑦2), slope is represented symbolically as 𝑚 = 𝑦2−𝑦1 / 𝑥2 – 𝑥1"
OI.5.GQ.10.LO.10.U.1.K.8,A linear function can be represented by a non-vertical straight line or a set of points that follow a non-vertical linear path.
OI.5.GQ.10.LO.10.U.1.K.9,Slope provides insight into the rate of change modelled by a linear function.
OI.5.GQ.10.LO.10.U.1.K.10,"Rate of change describes the change in one variable with respect to another variable in a situation modelled by a function, such as
- constant speed
- hourly wages
- filling a container at a constant rate"
OI.5.GQ.10.LO.10.U.1.K.11,Linear functions have a constant rate of change.
OI.5.GQ.10.LO.10.U.1.K.12,Rate of change of a linear function can be determined from any representation of the function by using the slope formula.
OI.5.GQ.10.LO.10.U.1.K.13,"A linear function can be expressed as an equation in slope-intercept form, represented symbolically as 𝑦 = 𝑚𝑥 +𝑏, where 𝑚 is the slope and 𝑏 is the constant and the 𝑦-intercept."
OI.5.GQ.10.LO.10.U.1.K.14,"The graph of a horizontal line can be expressed as an equation, represented symbolically as 𝑦 = 𝑏."
OI.5.GQ.10.LO.10.U.1.K.15,"The graph of a vertical line can be expressed as an equation, represented symbolically as 𝑥 = 𝑎, where 𝑎 is a constant."
OI.5.GQ.10.LO.10.U.1.K.16,"The 𝑥-intercept of a function, indicated by the point at which a graph crosses the 𝑥-axis , is the value of the 𝑥-coordinate when the 𝑦-coordinate is zero."
OI.5.GQ.10.LO.10.U.1.K.17,"A linear function where 𝑚 ≠ 0 has exactly one 𝑥-intercept, which is the solution of the equation 𝑚𝑥 + 𝑏 = 0."
OI.5.GQ.10.LO.10.U.1.K.18,"The 𝑦-intercept of a function, indicated by the point at which a graph crosses the 𝑦-axis,  is the value of the 𝑦-coordinate  when the 𝑥-coordinate is zero."
OI.5.GQ.10.LO.10.U.1.K.19,A linear function has exactly one 𝑦-intercept.
OI.5.GQ.10.LO.10.U.1.SP.1,"Calculate the slope of a line, given two points on the line."
OI.5.GQ.10.LO.10.U.1.SP.2,Compare the slopes of various parallel lines.
OI.5.GQ.10.LO.10.U.1.SP.3,Compare the slopes of various perpendicular lines.
OI.5.GQ.10.LO.10.U.1.SP.4,Investigate how 𝑏 and 𝑚 in the equation 𝑦 = 𝑚𝑥 + 𝑏 affect the vertical position and steepness of a graph.
OI.5.GQ.10.LO.10.U.1.SP.5,Prove that the slope of a vertical line is undefined.
OI.5.GQ.10.LO.10.U.1.SP.6,Distinguish between graphs of linear and non-linear functions.
OI.5.GQ.10.LO.10.U.1.SP.7,Investigate how variations of slope and 𝑦-intercepts contextually affect the rate of change of a linear function.
OI.5.GQ.10.LO.10.U.1.SP.8,"Propose a possible real-world situation, with a restricted domain and range, related to a given slope."
OI.5.GQ.10.LO.10.U.1.SP.9,"Graph a linear function, given slope and one point on the line."
OI.5.GQ.10.LO.10.U.1.SP.10,Solve problems involving rate of change from various representations modelling real-world situations.
OI.5.GQ.10.LO.10.U.1.SP.11,Prove that a linear function has exactly one 𝑥-intercept.
OI.5.GQ.10.LO.10.U.1.SP.12,"Express, as an ordered pair, the 𝑥- and 𝑦-intercepts of a linear function from a graph or equation."
OI.5.GQ.10.LO.10.U.1.SP.13,"Express a linear function as an equation in slope-intercept form, given the graph."
OI.5.GQ.10.LO.10.U.1.SP.14,"Graph a linear function, given the equation."
OI.5.GQ.10.LO.10.U.1.SP.15,Express a horizontal or vertical line as an equation.
OI.5.GQ.10.LO.10.U.1.SP.16,Graph horizontal and vertical lines.
OI.6,"Statistics: The science of collecting, analyzing, visualizing, and interpreting data can inform understanding and decision making."
OI.6.GQ.11,In what ways can representation clarify a distribution?
OI.6.GQ.11.LO.11,"Students analyze distributions, using shape."
OI.6.GQ.11.LO.11.U.1,Shape can determine which statistic best typifies a data set.
OI.6.GQ.11.LO.11.U.1.K.1,A distribution is an ordered data set in which the frequencies of all data values are evident.
OI.6.GQ.11.LO.11.U.1.K.2,A bar graph is a graphical representation of discrete data that shows the shape of a distribution by using the frequency of data grouped in categories.
OI.6.GQ.11.LO.11.U.1.K.3,A histogram is a graphical representation of continuous data that shows the shape of a distribution by using the frequency of data grouped in intervals.
OI.6.GQ.11.LO.11.U.1.K.4,"One graph, e.g., a double bar graph, can be used to compare multiple sets of discrete data."
OI.6.GQ.11.LO.11.U.1.K.5,"The shape of a distribution is described by the number of modes it has and whether it is symmetric, uniform, or skewed."
OI.6.GQ.11.LO.11.U.1.K.6,"In a symmetrical distribution of quantitative data, the mean and the median are equal."
OI.6.GQ.11.LO.11.U.1.K.7,"In a left-skewed distribution of quantitative data, the mean is less than the median and mode."
OI.6.GQ.11.LO.11.U.1.K.8,"In a right-skewed distribution of quantitative data, the mean is greater than the median and mode."
OI.6.GQ.11.LO.11.U.1.K.9,"The peaks of bar graphs and histograms represent the modes of a distribution, including unimodal and bimodal distributions."
OI.6.GQ.11.LO.11.U.1.K.10,"Measures of central tendency, including mean, median, and mode, are statistics that describe the centre of a distribution."
OI.6.GQ.11.LO.11.U.1.K.11,Measures of central tendency can describe typical data values for a data set.
OI.6.GQ.11.LO.11.U.1.SP.1,Describe the shape of distributions.
OI.6.GQ.11.LO.11.U.1.SP.2,Explain the effects of changing the size of the intervals in a histogram on the interpretation of the shape of a distribution.
OI.6.GQ.11.LO.11.U.1.SP.3,"Represent distributions, using histograms with equal intervals."
OI.6.GQ.11.LO.11.U.1.SP.4,Compare the shape of distributions from two different samples of the same population.
OI.6.GQ.11.LO.11.U.1.SP.5,"Justify the choice of mean, median, or mode to typify a data set for distributions of various shapes."
OI.6.GQ.11.LO.11.U.2,Circle graphs communicate categorical data efficiently.
OI.6.GQ.11.LO.11.U.2.K.1,A circle graph is a graphical representation of categorical data that shows the distribution through proportional sections in a circle.
OI.6.GQ.11.LO.11.U.2.K.2,"In a circle graph, the number of data points in each category corresponds to a proportional section of 360 degrees."
OI.6.GQ.11.LO.11.U.2.K.3,A circle graph can use percentages to indicate the number of data points in each section.
OI.6.GQ.11.LO.11.U.2.SP.1,"Represent data, using a circle graph."
OI.6.GQ.11.LO.11.U.2.SP.2,Analyze circle graphs to solve problems.
OI.7,Probability: Modelling randomness and quantifying the likelihood of events can inform decision making where uncertainty exists.
OI.7.GQ.12,In what ways can multiple events affect probability?
OI.7.GQ.12.LO.12,Students interpret probability of independent and dependent events.
OI.7.GQ.12.LO.12.U.1,The occurrence of one event can affect the probability of another.
OI.7.GQ.12.LO.12.U.1.K.1,"Sample space can be represented in various ways, including
- set notation
- lists
- tables"
OI.7.GQ.12.LO.12.U.1.K.2,"Set notation can represent a sample space, 𝑆, as an ordered or unordered list of all possible outcomes inside braces, e.g., 𝑆 = { 𝐻,𝑇 }represents the sample space for flipping a coin."
OI.7.GQ.12.LO.12.U.1.K.3,A compound event can consist of two or more events.
OI.7.GQ.12.LO.12.U.1.K.4,"The sample space of compound events can be represented with various models, including
- tree diagrams
- area models
- set notation"
OI.7.GQ.12.LO.12.U.1.K.5,Two events are independent if the occurrence of one event does not affect the occurrence of the other.
OI.7.GQ.12.LO.12.U.1.K.6,Two events are dependent if the occurrence of one event affects the occurrence of the other.
