Code,OI/LO/KUSP,Unit 1,Unit 2,Unit 3,Unit 4,Unit 5,Selected?,,,,
OI.3.GQ.5.LO.5.U.1.K.7,"The Famous Five, sometimes known as the Alberta Famous Five, were a group of women who successfully advocated for the expansion of suffrage and women’s rights in Canada. They included
- Louise McKinney
- Nellie McClung
- Henrietta Muir Edwards
- Irene Parlby
- Emily Murphy",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.8,The Indigenous Famous Five were a group of women who advocated to address discrimination.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.9,"The Government of Canada has apologized to groups who have faced discrimination, as symbolic gestures of reparation and to support inclusivity.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.K.10,"Multiculturalism and pluralism in Canada is promoted by public campaigns, awareness days, and months that recognize Canada’s diverse ethnic and cultural communities.",FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.1,Reflect on the long-term impact of discriminatory policies and practices.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.2,Compare the protection of equality rights in past legislation and in the Canadian Charter of Rights and Freedoms.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.3,Explore stories of advocacy by individuals or groups.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.4,Discuss actions taken by the Canadian government to make reparations and support equality.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.5,Explore contributions of the founding members of the Famous Five.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
OI.3.GQ.5.LO.5.U.1.SP.6,Discuss ways multiculturalism and pluralism are promoted in Canada.,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
